time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen,relative_position,time_numeric,xp,yp
2024-10-17 09:20:54.415387800+00:00,4,15,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:20:54.415387,300,1948
2024-10-17 09:20:59.436698800+00:00,4,15,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:20:59.436698,300,1948
2024-10-17 09:21:04.448618+00:00,4,15,DTE Staff,2,1,300,1948,-200.0,-95.0,0,09:21:04.448618,300,1949
2024-10-17 09:21:23.860927500+00:00,4,16,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:21:23.860927,300,1948
2024-10-17 09:21:28.872121500+00:00,4,16,DTE Student,4,11,300,1948,-65.0,-200.0,0,09:21:28.872121,300,1950
2024-10-17 09:21:33.854993300+00:00,4,16,DTE Staff,1,1,300,1948,-200.0,-96.0,0,09:21:33.854993,300,1950
2024-10-17 09:21:55.970768100+00:00,4,17,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:21:55.970768,300,1948
2024-10-17 09:22:00.992334500+00:00,4,17,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:22:00.992334,300,1948
2024-10-17 09:22:06.001177500+00:00,4,17,DTE Staff,1,1,300,1948,-200.0,-92.0,0,09:22:06.001177,300,1950
2024-10-17 09:22:25.407978500+00:00,4,18,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:22:25.407978,300,1948
2024-10-17 09:22:30.404507+00:00,4,18,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:22:30.404507,300,1948
2024-10-17 09:22:49.849273600+00:00,4,19,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:22:49.849273,300,1948
2024-10-17 09:22:54.863290300+00:00,4,19,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:22:54.863290,300,1948
2024-10-17 09:23:14.272006600+00:00,4,20,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:23:14.272006,300,1948
2024-10-17 09:23:19.271187800+00:00,4,20,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:23:19.271187,300,1948
2024-10-17 09:25:04.111883300+00:00,4,1,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:25:04.111883,300,1948
2024-10-17 09:25:09.124868900+00:00,4,1,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:25:09.124868,300,1948
2024-10-17 09:25:43.924373500+00:00,5,1,DTE Staff,3,11,300,2130,-70.0,-200.0,0,09:25:43.924373,300,2132
2024-10-17 09:25:47.935743+00:00,5,1,DTE Student,4,11,300,2130,-71.0,-200.0,0,09:25:47.935743,300,2133
2024-10-17 09:26:05.430803+00:00,5,2,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:26:05.430803,300,2130
2024-10-17 09:26:09.438076500+00:00,5,2,DTE Student,4,11,300,2130,-65.0,-200.0,0,09:26:09.438076,300,2130
2024-10-17 09:26:26.818302300+00:00,5,3,DTE Student,4,11,300,2130,-65.0,-200.0,0,09:26:26.818302,300,2130
2024-10-17 09:26:30.828968800+00:00,5,3,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:26:30.828968,300,2130
2024-10-17 09:26:55.262130400+00:00,5,4,DTE Staff,3,11,300,2130,-64.0,-200.0,0,09:26:55.262130,300,2126
2024-10-17 09:26:59.261409600+00:00,5,4,DTE Student,4,11,300,2130,-64.0,-200.0,0,09:26:59.261409,300,2126
2024-10-17 09:27:16.703460600+00:00,5,5,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:27:16.703460,300,2130
2024-10-17 09:27:20.702852200+00:00,5,5,DTE Student,4,11,300,2130,-66.0,-200.0,0,09:27:20.702852,300,2129
2024-10-17 09:27:24.740553900+00:00,5,5,DTE Staff,2,1,300,2130,-200.0,-96.0,0,09:27:24.740553,300,2123
2024-10-17 09:27:42.088549+00:00,5,6,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:27:42.088549,300,2130
2024-10-17 09:27:46.109027100+00:00,5,6,DTE Student,4,11,300,2130,-66.0,-200.0,0,09:27:46.109027,300,2129
2024-10-17 09:27:51.482030300+00:00,5,6,DTE Staff,2,1,300,2130,-200.0,-96.0,0,09:27:51.482030,300,2123
2024-10-17 09:28:07.530294200+00:00,5,7,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:28:07.530294,300,2130
2024-10-17 09:28:11.525543+00:00,5,7,DTE Student,4,11,300,2130,-66.0,-200.0,0,09:28:11.525543,300,2129
2024-10-17 09:28:28.901635800+00:00,5,8,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:28:28.901635,300,2130
2024-10-17 09:28:32.914809400+00:00,5,8,DTE Student,4,11,300,2130,-65.0,-200.0,0,09:28:32.914809,300,2130
2024-10-17 09:28:50.297505200+00:00,5,9,DTE Student,4,11,300,2130,-65.0,-200.0,0,09:28:50.297505,300,2130
2024-10-17 09:28:54.308515500+00:00,5,9,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:28:54.308515,300,2130
2024-10-17 09:28:58.333670200+00:00,5,9,DTE Staff,1,1,300,2130,-200.0,-96.0,0,09:28:58.333670,300,2130
2024-10-17 09:29:18.442371300+00:00,5,10,DTE Student,4,11,300,2130,-66.0,-200.0,0,09:29:18.442371,300,2129
2024-10-17 09:29:22.454105+00:00,5,10,DTE Staff,3,11,300,2130,-66.0,-200.0,0,09:29:22.454105,300,2129
2024-10-17 09:29:26.472210100+00:00,5,10,DTE Staff,1,1,300,2130,-200.0,-95.0,0,09:29:26.472210,300,2129
2024-10-17 09:29:32.086134800+00:00,5,10,DTE Staff,2,1,300,2130,-200.0,-95.0,0,09:29:32.086134,300,2129
2024-10-17 09:29:50.042015200+00:00,5,11,DTE Student,4,11,300,2130,-64.0,-200.0,0,09:29:50.042015,300,2126
2024-10-17 09:29:51.877698+00:00,5,11,DTE Staff,3,11,300,2130,-65.0,-200.0,0,09:29:51.877698,300,2130
2024-10-17 09:30:09.290904900+00:00,5,12,DTE Student,4,11,300,2130,-65.0,-200.0,0,09:30:09.290904,300,2130
2024-10-17 09:30:13.289676500+00:00,5,12,DTE Staff,3,11,300,2130,-66.0,-200.0,0,09:30:13.289676,300,2129
