time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen,relative_position,time_numeric
2024-10-17 09:37:05.474239300+00:00,6,1,DTE Student,4,11,529,1368,-67.0,-200.0,0,09:37:05.474239
2024-10-17 09:37:22.988235800+00:00,6,2,DTE Staff,3,11,529,1368,-65.0,-200.0,0,09:37:22.988235
2024-10-17 09:37:27.097197300+00:00,6,2,DTE Student,4,11,529,1368,-65.0,-200.0,0,09:37:27.097197
2024-10-17 09:37:46.152080200+00:00,6,3,DTE Student,4,11,529,1368,-65.0,-200.0,0,09:37:46.152080
2024-10-17 09:37:50.223829800+00:00,6,3,DTE Staff,3,11,529,1368,-66.0,-200.0,0,09:37:50.223829
2024-10-17 09:38:10.595549200+00:00,6,4,DTE Staff,3,11,529,1368,-66.0,-200.0,0,09:38:10.595549
2024-10-17 09:38:12.136976300+00:00,6,4,DTE Student,4,11,529,1368,-66.0,-200.0,0,09:38:12.136976
2024-10-17 09:38:30.472664400+00:00,6,5,DTE Staff,3,11,529,1368,-66.0,-200.0,0,09:38:30.472664
2024-10-17 09:38:34.565246500+00:00,6,5,DTE Student,4,11,529,1368,-66.0,-200.0,0,09:38:34.565246
2024-10-17 09:38:53.621405700+00:00,6,6,DTE Staff,3,11,529,1368,-65.0,-200.0,0,09:38:53.621405
2024-10-17 09:38:57.730388400+00:00,6,6,DTE Student,4,11,529,1368,-65.0,-200.0,0,09:38:57.730388
2024-10-17 09:39:14.979335500+00:00,6,7,DTE Student,4,11,529,1368,-65.0,-200.0,0,09:39:14.979335
2024-10-17 09:39:19.001538500+00:00,6,7,DTE Staff,3,11,529,1368,-65.0,-200.0,0,09:39:19.001538
2024-10-17 09:39:37.452108900+00:00,6,8,DTE Staff,3,11,529,1368,-67.0,-200.0,0,09:39:37.452108
2024-10-17 09:39:41.534304400+00:00,6,8,DTE Student,4,11,529,1368,-67.0,-200.0,0,09:39:41.534304
2024-10-17 09:40:01.199603200+00:00,6,9,DTE Staff,3,11,529,1368,-66.0,-200.0,0,09:40:01.199603
2024-10-17 09:40:05.192446200+00:00,6,9,DTE Student,4,11,529,1368,-66.0,-200.0,0,09:40:05.192446
2024-10-17 09:40:23.210991700+00:00,6,10,DTE Student,4,11,529,1368,-68.0,-200.0,0,09:40:23.210991
2024-10-17 09:40:27.163578800+00:00,6,10,DTE Staff,3,11,529,1368,-69.0,-200.0,0,09:40:27.163578
2024-10-17 09:40:44.940488100+00:00,6,11,DTE Staff,3,11,529,1368,-66.0,-200.0,0,09:40:44.940488
2024-10-17 09:40:49.014544500+00:00,6,11,DTE Student,4,11,529,1368,-66.0,-200.0,0,09:40:49.014544
2024-10-17 09:41:07.510093500+00:00,6,12,DTE Staff,3,11,529,1368,-74.0,-200.0,0,09:41:07.510093
2024-10-17 09:41:11.548938400+00:00,6,12,DTE Student,4,11,529,1368,-75.0,-200.0,0,09:41:11.548938
2024-10-17 09:41:29.267087900+00:00,6,13,DTE Student,4,11,529,1368,-65.0,-200.0,0,09:41:29.267087
2024-10-17 09:41:33.264466200+00:00,6,13,DTE Staff,3,11,529,1368,-65.0,-200.0,0,09:41:33.264466
2024-10-17 09:41:53.835917+00:00,6,14,DTE Student,4,11,529,1368,-65.0,-200.0,0,09:41:53.835917
2024-10-17 09:41:57.722298900+00:00,6,14,DTE Staff,3,11,529,1368,-65.0,-200.0,0,09:41:57.722298
2024-10-17 09:42:15.141115800+00:00,6,15,DTE Staff,3,11,529,1368,-66.0,-200.0,0,09:42:15.141115
2024-10-17 09:42:19.332561400+00:00,6,15,DTE Student,4,11,529,1368,-66.0,-200.0,0,09:42:19.332561
2024-10-17 09:42:41.150041600+00:00,6,16,DTE Staff,3,11,529,1368,-64.0,-200.0,0,09:42:41.150041
2024-10-17 09:42:45.240739100+00:00,6,16,DTE Student,4,11,529,1368,-64.0,-200.0,0,09:42:45.240739
2024-10-17 09:43:03.569784400+00:00,6,17,DTE Staff,3,11,529,1368,-64.0,-200.0,0,09:43:03.569784
2024-10-17 09:43:07.452076500+00:00,6,17,DTE Student,4,11,529,1368,-64.0,-200.0,0,09:43:07.452076
2024-10-17 09:43:25.888042700+00:00,6,18,DTE Staff,3,11,529,1368,-66.0,-200.0,0,09:43:25.888042
2024-10-17 09:43:29.832191200+00:00,6,18,DTE Student,4,11,529,1368,-67.0,-200.0,0,09:43:29.832191
2024-10-17 09:43:33.950003+00:00,6,18,DTE Staff,1,1,529,1368,-200.0,-95.0,0,09:43:33.950003
2024-10-17 09:43:54.662320800+00:00,6,19,DTE Student,4,11,529,1368,-64.0,-200.0,0,09:43:54.662320
2024-10-17 09:44:16.169929+00:00,6,20,DTE Student,4,11,529,1368,-65.0,-200.0,0,09:44:16.169929
2024-10-17 09:44:19.654169900+00:00,6,20,DTE Staff,3,11,529,1368,-65.0,-200.0,0,09:44:19.654169
2024-10-17 09:44:21.600174300+00:00,6,20,DTE Staff,1,1,529,1368,-200.0,-97.0,0,09:44:21.600174
2024-10-17 09:45:54.583845+00:00,7,1,DTE Staff,3,11,529,1567,-69.0,-200.0,0,09:45:54.583845
2024-10-17 09:45:57.555058900+00:00,7,1,DTE Student,4,11,529,1567,-69.0,-200.0,0,09:45:57.555058
2024-10-17 09:46:14.650395700+00:00,7,2,DTE Student,4,11,529,1567,-68.0,-200.0,0,09:46:14.650395
2024-10-17 09:46:17.620086300+00:00,7,2,DTE Staff,3,11,529,1567,-69.0,-200.0,0,09:46:17.620086
2024-10-17 09:46:33.816067700+00:00,7,3,DTE Staff,3,11,529,1567,-70.0,-200.0,0,09:46:33.816067
2024-10-17 09:46:36.626548300+00:00,7,3,DTE Student,4,11,529,1567,-71.0,-200.0,0,09:46:36.626548
2024-10-17 09:46:53.763542400+00:00,7,4,DTE Staff,3,11,529,1567,-70.0,-200.0,0,09:46:53.763542
2024-10-17 09:46:59.295682200+00:00,7,4,DTE Student,4,11,529,1567,-71.0,-200.0,0,09:46:59.295682
2024-10-17 09:47:12.096696500+00:00,7,5,DTE Student,4,11,529,1567,-69.0,-200.0,0,09:47:12.096696
2024-10-17 09:47:15.170435200+00:00,7,5,DTE Staff,3,11,529,1567,-69.0,-200.0,0,09:47:15.170435
2024-10-17 09:47:31.137613+00:00,7,6,DTE Staff,3,11,529,1567,-69.0,-200.0,0,09:47:31.137613
2024-10-17 09:47:34.214250400+00:00,7,6,DTE Student,4,11,529,1567,-69.0,-200.0,0,09:47:34.214250
2024-10-17 09:47:52.750223700+00:00,7,7,DTE Staff,3,11,529,1567,-68.0,-200.0,0,09:47:52.750223
2024-10-17 09:47:53.056393300+00:00,7,7,DTE Student,4,11,529,1567,-68.0,-200.0,0,09:47:53.056393
2024-10-17 09:48:09.133539500+00:00,7,8,DTE Student,4,11,529,1567,-69.0,-200.0,0,09:48:09.133539
2024-10-17 09:48:12.119899200+00:00,7,8,DTE Staff,3,11,529,1567,-70.0,-200.0,0,09:48:12.119899
2024-10-17 09:48:28.083124200+00:00,7,9,DTE Staff,3,11,529,1567,-71.0,-200.0,0,09:48:28.083124
2024-10-17 09:48:31.143215100+00:00,7,9,DTE Student,4,11,529,1567,-72.0,-200.0,0,09:48:31.143215
2024-10-17 09:48:47.361059+00:00,7,10,DTE Student,4,11,529,1567,-70.0,-200.0,0,09:48:47.361059
2024-10-17 09:48:50.606704900+00:00,7,10,DTE Staff,3,11,529,1567,-71.0,-200.0,0,09:48:50.606704
2024-10-17 09:49:06.185921300+00:00,7,11,DTE Staff,3,11,529,1567,-71.0,-200.0,0,09:49:06.185921
2024-10-17 09:49:09.243013700+00:00,7,11,DTE Student,4,11,529,1567,-71.0,-200.0,0,09:49:09.243013
2024-10-17 09:49:27.253844700+00:00,7,12,DTE Student,4,11,529,1567,-71.0,-200.0,0,09:49:27.253844
2024-10-17 09:49:27.877697900+00:00,7,12,DTE Staff,3,11,529,1567,-72.0,-200.0,0,09:49:27.877697
2024-10-17 09:49:43.135177500+00:00,7,13,DTE Staff,3,11,529,1567,-61.0,-200.0,0,09:49:43.135177
2024-10-17 09:49:46.116420+00:00,7,13,DTE Student,4,11,529,1567,-62.0,-200.0,0,09:49:46.116420
2024-10-17 09:50:01.572350400+00:00,7,14,DTE Staff,3,11,529,1567,-62.0,-200.0,0,09:50:01.572350
2024-10-17 09:50:04.744146900+00:00,7,14,DTE Student,4,11,529,1567,-62.0,-200.0,0,09:50:04.744146
2024-10-17 09:50:20.924422300+00:00,7,15,DTE Student,4,11,529,1567,-62.0,-200.0,0,09:50:20.924422
2024-10-17 09:50:24.317225100+00:00,7,15,DTE Staff,3,11,529,1567,-62.0,-200.0,0,09:50:24.317225
2024-10-17 09:50:48.982574700+00:00,7,16,DTE Student,4,11,529,1567,-66.0,-200.0,0,09:50:48.982574
2024-10-17 09:50:49.757034200+00:00,7,16,DTE Staff,3,11,529,1567,-68.0,-200.0,0,09:50:49.757034
