,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,70:A7:41:DC:8E:55,11,LAUREN,9,RP116,-87,DTE Staff,2025-03-12T07:24:19.4041177Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,10,RP116,-87,DTE IoT,2025-03-12T07:24:44.8545478Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,11,RP116,-84,DTE IoT,2025-03-12T07:25:09.4455894Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,12,RP116,-90,DTE IoT,2025-03-12T07:25:34.1155008Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,14,RP116,-87,DTE IoT,2025-03-12T07:26:21.014221Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,15,RP116,-86,DTE IoT,2025-03-12T07:26:45.514693Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,16,RP116,-84,DTE IoT,2025-03-12T07:27:13.037045Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,17,RP116,-86,DTE IoT,2025-03-12T07:27:34.5434401Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,18,RP116,-83,DTE IoT,2025-03-12T07:28:01.9741418Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,19,RP116,-81,DTE IoT,2025-03-12T07:28:23.6282761Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,2,RP116,-87,DTE IoT,2025-03-12T07:00:23.715275Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,20,RP116,-84,DTE IoT,2025-03-12T07:28:48.0910943Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,3,RP116,-82,DTE IoT,2025-03-12T07:01:02.0088823Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,3,RP116,-86,DTE IoT,2025-03-12T07:21:58.0525909Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,4,RP116,-87,DTE IoT,2025-03-12T07:22:22.8349801Z,esp/topic,1520,134
